# c (m/s) L (cold)  L(warm) 
# UTC time: June 18 00:00, 2010 
# mean sampling poitions:
# cold:-123.2296, 38.1393
# warm:-123.2884, 38.1113
0.000000 0.007091 0.007283
0.100000 0.022442 0.022026
0.200000 0.016513 0.015529
0.300000 0.010939 0.009879
0.400000 0.008030 0.006691
0.500000 0.006253 0.004851
0.600000 0.005006 0.003725
0.700000 0.004343 0.003155
0.800000 0.003919 0.002661
0.900000 0.003510 0.002389
1.000000 0.003148 0.002230
1.100000 0.002875 0.002023
1.200000 0.002748 0.001988
1.300000 0.002558 0.001874
1.400000 0.002435 0.001736
1.500000 0.002323 0.001746
1.600000 0.002157 0.001668
1.700000 0.002072 0.001587
1.800000 0.001925 0.001563
1.900000 0.001780 0.001422
2.000000 0.001651 0.001303
2.100000 0.001491 0.001202
2.200000 0.001344 0.001080
2.300000 0.001238 0.001027
2.400000 0.001142 0.000977
2.500000 0.001071 0.000896
2.600000 0.000998 0.000829
2.700000 0.000940 0.000816
2.800000 0.000860 0.000753
2.900000 0.000802 0.000675
3.000000 0.000708 0.000640
3.100000 0.000639 0.000543
3.200000 0.000564 0.000496
3.300000 0.000529 0.000439
3.400000 0.000486 0.000399
3.500000 0.000479 0.000367
3.600000 0.000439 0.000349
3.700000 0.000402 0.000320
3.800000 0.000366 0.000284
3.900000 0.000348 0.000246
4.000000 0.000329 0.000238
4.100000 0.000273 0.000202
4.200000 0.000254 0.000175
4.300000 0.000214 0.000167
4.400000 0.000200 0.000153
4.500000 0.000192 0.000119
4.600000 0.000175 0.000121
4.700000 0.000159 0.000105
4.800000 0.000141 0.000104
4.900000 0.000139 0.000094
5.000000 0.000132 0.000081
5.100000 0.000119 0.000075
5.200000 0.000113 0.000057
5.300000 0.000100 0.000053
5.400000 0.000093 0.000048
5.500000 0.000087 0.000038
5.600000 0.000078 0.000038
5.700000 0.000077 0.000034
5.800000 0.000066 0.000031
5.900000 0.000057 0.000025
6.000000 0.000054 0.000022
6.100000 0.000052 0.000021
6.200000 0.000048 0.000021
6.300000 0.000050 0.000018
6.400000 0.000036 0.000016
6.500000 0.000036 0.000012
6.600000 0.000035 0.000012
6.700000 0.000034 0.000015
6.800000 0.000035 0.000008
6.900000 0.000030 0.000008
7.000000 0.000025 0.000009
7.100000 0.000026 0.000008
7.200000 0.000024 0.000005
7.300000 0.000018 0.000006
7.400000 0.000019 0.000006
7.500000 0.000018 0.000003
7.600000 0.000016 0.000005
7.700000 0.000017 0.000003
7.800000 0.000014 0.000003
7.900000 0.000014 0.000004
8.000000 0.000015 0.000002
8.100000 0.000014 0.000003
8.200000 0.000013 0.000002
8.300000 0.000012 0.000002
8.400000 0.000012 0.000002
8.500000 0.000010 0.000002
8.600000 0.000013 0.000001
8.700000 0.000010 0.000002
8.800000 0.000008 0.000002
8.900000 0.000008 0.000002
9.000000 0.000012 0.000001
9.100000 0.000011 0.000002
9.200000 0.000007 0.000001
9.300000 0.000008 0.000001
9.400000 0.000008 0.000002
9.500000 0.000006 0.000001
9.600000 0.000010 0.000001
9.700000 0.000007 0.000002
9.800000 0.000005 0.000001
9.900000 0.000006 0.000001
